,location,total_sqft,bath,price,bhk
77,5th Phase JP Nagar,4000.0,5.0,170.0,5
78,5th Phase JP Nagar,1080.0,2.0,53.0,2
79,5th Phase JP Nagar,1041.0,2.0,54.0,2
80,5th Phase JP Nagar,812.0,2.0,42.0,2
81,5th Phase JP Nagar,1010.0,2.0,57.0,2
82,5th Phase JP Nagar,1450.0,2.0,73.0,3
83,5th Phase JP Nagar,2500.0,8.0,95.0,7
84,5th Phase JP Nagar,1075.0,2.0,60.0,2
85,6th Phase JP Nagar,1192.0,2.0,74.0,2
86,6th Phase JP Nagar,1180.0,2.0,80.0,2
87,6th Phase JP Nagar,3245.0,4.0,250.0,4
89,6th Phase JP Nagar,1280.0,2.0,56.0,2
90,6th Phase JP Nagar,1140.0,2.0,65.0,2
91,6th Phase JP Nagar,2040.0,3.0,200.0,3
92,6th Phase JP Nagar,1213.0,2.0,63.0,2
94,6th Phase JP Nagar,1170.0,2.0,120.0,2
95,6th Phase JP Nagar,1216.0,2.0,60.0,2
96,6th Phase JP Nagar,1460.0,2.0,80.0,2
97,6th Phase JP Nagar,2003.0,3.0,200.0,3
99,6th Phase JP Nagar,1810.0,3.0,131.0,3
100,6th Phase JP Nagar,1515.0,2.0,135.0,3
101,6th Phase JP Nagar,1192.0,2.0,75.0,2
102,6th Phase JP Nagar,1280.0,2.0,88.0,2
103,7th Phase JP Nagar,1000.0,2.0,38.0,2
104,7th Phase JP Nagar,1080.0,2.0,72.0,2
105,7th Phase JP Nagar,1270.0,2.0,93.0,2
106,7th Phase JP Nagar,1420.0,2.0,100.0,3
107,7th Phase JP Nagar,1850.0,3.0,150.0,3
108,7th Phase JP Nagar,1245.0,2.0,94.0,2
109,7th Phase JP Nagar,1175.0,2.0,82.0,2
110,7th Phase JP Nagar,1400.0,2.0,95.0,3
111,7th Phase JP Nagar,2225.0,3.0,160.0,3
112,7th Phase JP Nagar,1050.0,2.0,71.0,2
113,7th Phase JP Nagar,1100.0,2.0,46.0,2
114,7th Phase JP Nagar,918.0,2.0,50.49,2
115,7th Phase JP Nagar,1450.0,2.0,100.0,3
116,7th Phase JP Nagar,1040.0,2.0,39.52,2
117,7th Phase JP Nagar,1070.0,2.0,42.79,2
118,7th Phase JP Nagar,1190.0,2.0,49.98,2
119,7th Phase JP Nagar,1420.0,2.0,96.0,3
120,7th Phase JP Nagar,1680.0,3.0,120.0,3
121,7th Phase JP Nagar,1050.0,2.0,42.0,2
122,7th Phase JP Nagar,980.0,2.0,69.0,2
123,7th Phase JP Nagar,1035.0,2.0,41.39,2
124,7th Phase JP Nagar,1370.0,2.0,56.17,2
125,7th Phase JP Nagar,1180.0,2.0,72.0,2
126,7th Phase JP Nagar,5080.0,7.0,450.0,6
131,7th Phase JP Nagar,1400.0,3.0,115.0,3
132,7th Phase JP Nagar,1075.0,2.0,42.99,2
133,7th Phase JP Nagar,1100.0,2.0,44.0,2
134,7th Phase JP Nagar,1270.0,2.0,83.0,2
136,7th Phase JP Nagar,2503.0,4.0,188.0,4
137,7th Phase JP Nagar,2200.0,3.0,190.0,3
138,7th Phase JP Nagar,1035.0,2.0,39.33,2
140,7th Phase JP Nagar,1050.0,2.0,42.0,2
142,7th Phase JP Nagar,1575.0,2.0,110.0,3
143,7th Phase JP Nagar,1850.0,3.0,140.0,3
146,7th Phase JP Nagar,4800.0,7.0,170.0,7
148,7th Phase JP Nagar,1575.0,2.0,120.0,3
149,7th Phase JP Nagar,1850.0,3.0,150.0,3
150,7th Phase JP Nagar,1680.0,3.0,120.0,3
151,7th Phase JP Nagar,1212.0,3.0,42.0,2
152,7th Phase JP Nagar,1175.0,2.0,82.5,2
155,7th Phase JP Nagar,1215.0,2.0,90.0,2
156,7th Phase JP Nagar,1050.0,2.0,75.0,2
157,7th Phase JP Nagar,1300.0,3.0,89.13,3
158,7th Phase JP Nagar,1130.0,2.0,73.0,2
159,7th Phase JP Nagar,1450.0,3.0,100.0,3
161,7th Phase JP Nagar,1050.0,2.0,50.0,2
162,7th Phase JP Nagar,1275.0,2.0,87.0,2
164,7th Phase JP Nagar,1650.0,3.0,110.0,3
165,7th Phase JP Nagar,850.0,2.0,42.0,2
166,7th Phase JP Nagar,1680.0,3.0,117.0,3
167,7th Phase JP Nagar,1850.0,3.0,150.0,3
168,7th Phase JP Nagar,1236.0,2.0,61.33,2
169,7th Phase JP Nagar,1000.0,2.0,53.0,2
170,7th Phase JP Nagar,1680.0,3.0,125.0,3
171,7th Phase JP Nagar,1675.0,2.0,135.0,3
172,7th Phase JP Nagar,1035.0,2.0,39.33,2
173,7th Phase JP Nagar,1187.0,2.0,59.0,2
174,7th Phase JP Nagar,1850.0,3.0,155.0,3
175,7th Phase JP Nagar,1000.0,2.0,61.0,2
176,7th Phase JP Nagar,1460.0,2.0,100.0,3
177,7th Phase JP Nagar,1650.0,3.0,110.0,3
178,7th Phase JP Nagar,1200.0,2.0,62.5,2
179,7th Phase JP Nagar,1000.0,2.0,70.65,2
180,7th Phase JP Nagar,1070.0,2.0,42.0,2
181,7th Phase JP Nagar,1080.0,2.0,75.0,2
182,7th Phase JP Nagar,2100.0,3.0,200.0,3
184,7th Phase JP Nagar,1680.0,3.0,125.0,3
185,7th Phase JP Nagar,1040.0,2.0,41.59,2
186,7th Phase JP Nagar,1100.0,2.0,44.0,2
187,7th Phase JP Nagar,1460.0,2.0,97.0,3
188,7th Phase JP Nagar,1120.0,2.0,65.0,2
189,7th Phase JP Nagar,1100.0,3.0,60.0,2
190,7th Phase JP Nagar,1790.0,3.0,120.0,3
191,7th Phase JP Nagar,1680.0,3.0,117.0,3
192,7th Phase JP Nagar,1050.0,2.0,77.0,2
193,7th Phase JP Nagar,1174.0,2.0,47.0,2
194,7th Phase JP Nagar,1050.0,2.0,75.0,2
195,7th Phase JP Nagar,1040.0,2.0,75.0,2
196,7th Phase JP Nagar,1400.0,2.0,95.0,3
197,7th Phase JP Nagar,1800.0,3.0,130.0,3
198,7th Phase JP Nagar,1050.0,2.0,68.0,2
200,7th Phase JP Nagar,1000.0,2.0,60.0,2
201,7th Phase JP Nagar,1680.0,3.0,125.0,3
202,7th Phase JP Nagar,980.0,2.0,86.0,2
204,7th Phase JP Nagar,1050.0,2.0,77.47,2
205,7th Phase JP Nagar,1270.0,2.0,80.0,2
207,7th Phase JP Nagar,1680.0,3.0,122.0,3
208,7th Phase JP Nagar,1070.0,2.0,42.79,2
209,7th Phase JP Nagar,1130.0,2.0,85.0,2
210,7th Phase JP Nagar,1680.0,3.0,130.0,3
213,7th Phase JP Nagar,2980.0,4.0,260.0,3
214,7th Phase JP Nagar,980.0,2.0,77.44,2
215,7th Phase JP Nagar,1680.0,3.0,112.0,3
217,7th Phase JP Nagar,2095.0,3.0,150.0,3
219,7th Phase JP Nagar,1976.0,3.0,145.0,3
220,7th Phase JP Nagar,1600.0,2.0,110.0,3
221,7th Phase JP Nagar,1765.0,3.0,118.0,3
222,7th Phase JP Nagar,1275.0,2.0,88.0,3
223,7th Phase JP Nagar,1450.0,2.0,102.0,3
224,7th Phase JP Nagar,1035.0,2.0,39.33,2
225,7th Phase JP Nagar,1575.0,2.0,110.0,3
226,7th Phase JP Nagar,2100.0,3.0,200.0,3
228,7th Phase JP Nagar,750.0,1.0,47.0,1
229,7th Phase JP Nagar,1050.0,2.0,42.0,2
230,7th Phase JP Nagar,990.0,2.0,50.0,2
231,7th Phase JP Nagar,1000.0,1.0,60.0,1
233,7th Phase JP Nagar,1100.0,2.0,44.0,2
234,7th Phase JP Nagar,1430.0,2.0,102.0,3
235,7th Phase JP Nagar,1128.0,2.0,60.0,2
236,7th Phase JP Nagar,2100.0,3.0,190.0,3
237,7th Phase JP Nagar,1140.0,2.0,57.0,2
238,7th Phase JP Nagar,1420.0,3.0,90.0,3
239,7th Phase JP Nagar,1530.0,2.0,108.0,2
240,8th Phase JP Nagar,1073.5,2.0,54.005,2
241,8th Phase JP Nagar,451.0,1.0,29.9,1
243,8th Phase JP Nagar,1062.0,2.0,42.47,2
245,8th Phase JP Nagar,1455.0,3.0,73.31,3
246,8th Phase JP Nagar,871.0,2.0,55.0,2
247,8th Phase JP Nagar,1098.0,2.0,43.91,2
248,8th Phase JP Nagar,1800.0,3.0,80.0,3
249,8th Phase JP Nagar,2700.0,4.0,130.0,4
250,8th Phase JP Nagar,1080.0,2.0,38.0,2
251,8th Phase JP Nagar,1059.0,2.0,34.5,2
252,8th Phase JP Nagar,1080.0,2.0,35.0,2
254,8th Phase JP Nagar,1062.0,2.0,42.47,2
255,8th Phase JP Nagar,500.0,1.0,31.0,1
256,8th Phase JP Nagar,1100.0,2.0,35.0,2
257,8th Phase JP Nagar,2100.0,4.0,92.0,4
258,8th Phase JP Nagar,1035.0,2.0,39.33,2
259,8th Phase JP Nagar,909.0,2.0,40.9,2
260,8th Phase JP Nagar,1431.5,3.0,72.02,3
261,8th Phase JP Nagar,1900.0,4.0,90.0,3
262,8th Phase JP Nagar,500.0,1.0,30.0,1
263,8th Phase JP Nagar,1125.0,2.0,36.94,2
264,8th Phase JP Nagar,1200.0,3.0,110.0,4
265,8th Phase JP Nagar,1100.0,2.0,35.0,2
266,8th Phase JP Nagar,1089.0,2.0,43.55,2
268,8th Phase JP Nagar,1504.0,2.0,83.0,3
269,8th Phase JP Nagar,2600.0,4.0,115.0,4
271,8th Phase JP Nagar,1089.0,2.0,43.55,2
273,8th Phase JP Nagar,1513.0,2.0,62.0,2
274,8th Phase JP Nagar,1298.0,2.0,59.0,2
275,8th Phase JP Nagar,1006.0,2.0,44.0,2
276,8th Phase JP Nagar,500.0,1.0,33.0,1
277,8th Phase JP Nagar,1160.0,2.0,95.0,2
278,8th Phase JP Nagar,1245.0,2.0,59.0,2
279,8th Phase JP Nagar,1510.0,2.0,80.0,2
280,8th Phase JP Nagar,3300.0,3.0,165.0,3
281,8th Phase JP Nagar,1730.0,5.0,75.0,5
284,8th Phase JP Nagar,1046.0,2.0,48.0,2
286,8th Phase JP Nagar,1408.0,3.0,80.0,3
288,9th Phase JP Nagar,1005.0,2.0,50.0,2
290,9th Phase JP Nagar,1100.0,2.0,65.0,2
291,9th Phase JP Nagar,1080.0,2.0,37.0,2
292,9th Phase JP Nagar,1035.0,2.0,45.0,2
293,9th Phase JP Nagar,5000.0,4.0,290.0,4
294,9th Phase JP Nagar,1164.0,2.0,56.0,2
295,9th Phase JP Nagar,1005.0,2.0,42.0,2
296,9th Phase JP Nagar,1127.0,2.0,50.0,2
297,9th Phase JP Nagar,1005.0,2.0,43.0,2
298,9th Phase JP Nagar,835.0,2.0,37.0,2
299,9th Phase JP Nagar,1050.0,2.0,39.0,2
300,9th Phase JP Nagar,660.0,2.0,27.0,2
301,9th Phase JP Nagar,600.0,1.0,20.0,1
302,9th Phase JP Nagar,1466.0,2.0,71.0,2
303,9th Phase JP Nagar,1890.0,2.0,93.0,3
304,9th Phase JP Nagar,1079.0,2.0,60.0,2
305,9th Phase JP Nagar,1480.0,2.0,80.0,2
306,9th Phase JP Nagar,1200.0,2.0,80.0,2
307,9th Phase JP Nagar,905.0,2.0,32.0,2
308,9th Phase JP Nagar,1073.0,2.0,52.36,2
309,9th Phase JP Nagar,1719.3,2.0,88.0,3
310,9th Phase JP Nagar,1780.0,3.0,88.0,3
312,9th Phase JP Nagar,1522.0,3.0,90.0,3
315,9th Phase JP Nagar,890.0,2.0,45.0,2
317,9th Phase JP Nagar,5000.0,4.0,300.0,4
319,9th Phase JP Nagar,1050.0,2.0,35.0,2
320,9th Phase JP Nagar,1331.95,2.0,69.0,2
321,AECS Layout,1100.0,2.0,45.0,2
322,AECS Layout,1620.0,3.0,98.0,3
323,AECS Layout,1028.0,2.0,42.0,2
324,AECS Layout,1199.0,2.0,65.0,2
325,AECS Layout,1080.0,2.0,55.0,2
327,AECS Layout,1123.0,2.0,64.0,2
328,AECS Layout,1308.0,2.0,60.0,2
329,AECS Layout,1135.0,2.0,68.0,2
330,AECS Layout,1005.0,2.0,55.0,2
332,Abbigere,985.0,2.0,40.39,2
333,Abbigere,2200.0,6.0,68.0,6
334,Abbigere,765.0,2.0,30.0,1
335,Abbigere,880.0,2.0,35.0,2
336,Abbigere,795.0,2.0,32.54,2
337,Abbigere,1005.0,2.0,39.59,2
338,Abbigere,734.0,1.0,19.82,1
340,Abbigere,1020.0,2.0,41.82,2
343,Abbigere,985.0,2.0,40.39,2
344,Abbigere,2500.0,6.0,81.0,6
345,Abbigere,795.0,2.0,32.54,2
346,Abbigere,1130.0,2.0,46.33,2
347,Abbigere,795.0,1.0,32.6,2
348,Abbigere,3000.0,8.0,150.0,8
349,Abbigere,985.0,2.0,38.92,2
350,Abbigere,1000.0,2.0,41.0,2
351,Abbigere,995.0,2.0,40.8,2
352,Abbigere,1020.0,2.0,40.8,2
353,Akshaya Nagar,1388.0,2.0,57.0,2
354,Akshaya Nagar,1070.0,2.0,54.0,2
356,Akshaya Nagar,1280.0,2.0,58.0,2
357,Akshaya Nagar,1662.0,3.0,85.1,3
358,Akshaya Nagar,1897.0,3.0,120.0,3
359,Akshaya Nagar,1410.0,2.0,75.0,3
360,Akshaya Nagar,1360.0,2.0,85.0,3
362,Akshaya Nagar,1720.0,3.0,134.0,3
363,Akshaya Nagar,1410.0,2.0,80.0,3
364,Akshaya Nagar,1662.0,3.0,85.0,3
365,Akshaya Nagar,1662.0,3.0,85.5,3
366,Akshaya Nagar,1280.0,2.0,60.0,2
367,Akshaya Nagar,1666.0,3.0,95.0,3
368,Akshaya Nagar,1575.0,3.0,90.0,3
369,Akshaya Nagar,1430.0,2.0,75.0,3
370,Akshaya Nagar,1419.0,2.0,73.0,3
371,Akshaya Nagar,1280.0,2.0,60.0,2
372,Akshaya Nagar,1200.0,2.0,50.0,2
373,Akshaya Nagar,1092.0,2.0,60.0,2
374,Akshaya Nagar,1690.0,3.0,85.0,3
375,Akshaya Nagar,1700.0,3.0,80.0,3
376,Akshaya Nagar,1897.0,4.0,93.0,3
377,Akshaya Nagar,1884.0,3.0,98.0,3
379,Akshaya Nagar,1314.0,2.0,68.8,2
380,Akshaya Nagar,1690.0,3.0,85.0,3
381,Akshaya Nagar,1265.0,2.0,67.0,2
382,Akshaya Nagar,1126.0,2.0,55.0,2
384,Akshaya Nagar,1662.0,3.0,90.0,3
385,Akshaya Nagar,1420.0,2.0,75.0,3
387,Akshaya Nagar,1412.0,2.0,88.0,3
388,Akshaya Nagar,1434.0,3.0,84.0,3
389,Akshaya Nagar,1890.0,4.0,100.0,3
390,Akshaya Nagar,2650.0,3.0,125.0,3
391,Akshaya Nagar,1419.0,2.0,87.0,3
392,Akshaya Nagar,1300.0,2.0,54.0,2
393,Akshaya Nagar,1690.0,3.0,85.0,3
394,Akshaya Nagar,1000.0,2.0,38.0,2
395,Akshaya Nagar,1113.0,2.0,52.0,2
396,Akshaya Nagar,1820.0,4.0,95.0,3
397,Akshaya Nagar,1100.0,2.0,48.0,2
398,Akshaya Nagar,1896.0,3.0,102.0,3
399,Akshaya Nagar,1300.0,2.0,66.0,2
400,Akshaya Nagar,1225.0,2.0,68.0,2
401,Akshaya Nagar,1179.0,2.0,51.0,2
402,Akshaya Nagar,1421.0,2.0,73.0,3
403,Akshaya Nagar,1200.0,2.0,45.0,2
404,Akshaya Nagar,1893.0,4.0,95.0,3
405,Akshaya Nagar,900.0,2.0,45.0,2
406,Ambalipura,1105.0,2.0,75.0,2
407,Ambalipura,1800.0,3.0,110.0,3
408,Ambalipura,1150.0,2.0,80.0,2
409,Ambalipura,1250.0,2.0,66.25,2
410,Ambalipura,1332.0,2.0,79.0,2
411,Ambalipura,1730.0,3.0,120.0,3
412,Ambalipura,896.0,2.0,30.13,2
413,Ambalipura,3500.0,3.0,198.0,3
414,Ambalipura,1230.0,2.0,66.25,2
415,Ambalipura,1351.0,2.0,77.0,2
417,Ambalipura,950.0,2.0,31.95,2
418,Ambalipura,1625.0,2.0,145.0,3
419,Ambalipura,1817.0,3.0,102.0,3
421,Ambalipura,1303.0,2.0,80.0,2
422,Ambalipura,1607.0,2.0,112.0,3
423,Ambalipura,770.0,1.0,43.82,1
424,Ambalipura,860.0,2.0,28.93,2
425,Ambalipura,1700.0,2.0,76.0,2
426,Ambalipura,1060.0,2.0,58.5,2
427,Ambalipura,1650.0,3.0,100.0,3
428,Ambalipura,1607.0,2.0,112.0,3
429,Ambalipura,1198.0,2.0,80.0,2
430,Ambalipura,1615.0,2.0,150.0,3
431,Ambedkar Nagar,2900.0,3.0,300.0,4
432,Ambedkar Nagar,1935.0,4.0,130.0,3
433,Ambedkar Nagar,1424.0,2.0,90.0,2
434,Ambedkar Nagar,2225.0,4.0,169.0,3
435,Ambedkar Nagar,1862.0,3.0,120.0,3
436,Ambedkar Nagar,1850.0,4.0,139.0,3
437,Ambedkar Nagar,1936.0,4.0,126.0,3
438,Ambedkar Nagar,1862.0,3.0,119.0,3
439,Ambedkar Nagar,1424.0,2.0,90.0,2
440,Ambedkar Nagar,2150.0,4.0,125.0,3
441,Ambedkar Nagar,3530.0,4.0,290.0,4
442,Ambedkar Nagar,1856.0,3.0,120.0,3
443,Ambedkar Nagar,1852.0,3.0,130.0,3
444,Ambedkar Nagar,1850.0,4.0,120.0,3
445,Ambedkar Nagar,1367.0,2.0,86.0,2
446,Ambedkar Nagar,3565.0,4.0,255.0,4
447,Ambedkar Nagar,1409.0,2.0,95.0,2
448,Ambedkar Nagar,1950.0,4.0,120.0,3
449,Ambedkar Nagar,1921.0,4.0,129.0,3
450,Ambedkar Nagar,1920.0,4.0,121.0,3
451,Ambedkar Nagar,1935.0,4.0,125.0,3
452,Ambedkar Nagar,1852.0,4.0,122.0,3
453,Ambedkar Nagar,1950.0,4.0,120.0,3
454,Ambedkar Nagar,1852.0,3.0,125.0,3
455,Ambedkar Nagar,2900.0,3.0,297.0,3
456,Ambedkar Nagar,1850.0,4.0,121.0,3
457,Ambedkar Nagar,1425.0,2.0,94.0,2
458,Ambedkar Nagar,2395.0,4.0,150.0,3
459,Amruthahalli,900.0,2.0,40.0,2
460,Amruthahalli,1200.0,2.0,55.0,2
461,Amruthahalli,1900.0,3.0,135.0,3
462,Amruthahalli,924.0,2.0,45.0,2
463,Amruthahalli,900.0,2.0,60.0,2
464,Amruthahalli,1100.0,2.0,45.0,2
465,Amruthahalli,1200.0,2.0,55.0,2
469,Amruthahalli,1450.0,2.0,85.0,3
470,Amruthahalli,1200.0,2.0,55.0,2
471,Amruthahalli,1250.0,2.0,79.0,2
472,Amruthahalli,1190.0,2.0,50.0,2
473,Amruthahalli,1202.0,2.0,65.0,2
474,Amruthahalli,1340.0,2.0,75.0,2
475,Amruthahalli,2650.0,4.0,175.0,3
476,Amruthahalli,1450.0,2.0,90.0,3
477,Amruthahalli,1025.0,2.0,42.0,2
478,Amruthahalli,485.0,1.0,19.5,1
479,Amruthahalli,600.0,1.0,55.0,1
480,Anandapura,1167.0,2.0,43.76,2
481,Anandapura,1000.0,2.0,55.0,2
482,Anandapura,1141.0,2.0,42.79,2
483,Anandapura,1475.0,2.0,50.0,4
485,Anandapura,1200.0,2.0,67.0,2
486,Anandapura,1200.0,2.0,58.0,2
487,Anandapura,1151.0,2.0,43.1,2
488,Anandapura,1141.0,2.0,42.75,2
489,Anandapura,900.0,2.0,48.0,2
490,Anandapura,1749.0,4.0,90.0,4
491,Anandapura,1151.0,2.0,42.9,2
493,Anandapura,1250.0,2.0,45.0,2
494,Anandapura,1151.0,2.0,43.16,2
495,Anandapura,1200.0,2.0,58.0,2
496,Anandapura,1200.0,2.0,66.0,3
497,Anandapura,1415.0,2.0,74.0,3
498,Anandapura,1200.0,2.0,50.0,2
499,Anandapura,1141.0,2.0,50.0,2
501,Ananth Nagar,500.0,1.0,14.0,1
502,Ananth Nagar,1100.0,2.0,31.5,2
503,Ananth Nagar,982.0,2.0,24.55,2
504,Ananth Nagar,500.0,2.0,14.0,1
505,Ananth Nagar,900.0,2.0,22.5,2
506,Ananth Nagar,908.0,2.0,26.0,2
507,Ananth Nagar,870.0,2.0,36.0,2
508,Ananth Nagar,937.0,2.0,35.0,2
509,Ananth Nagar,960.0,2.0,37.0,2
510,Ananth Nagar,500.0,1.0,14.0,1
511,Ananth Nagar,1000.0,2.0,29.7,2
512,Ananth Nagar,850.0,2.0,25.99,2
513,Ananth Nagar,902.0,2.0,25.26,2
514,Ananth Nagar,1470.0,3.0,54.0,3
515,Ananth Nagar,810.0,2.0,25.5,2
516,Ananth Nagar,890.0,2.0,27.0,2
517,Ananth Nagar,1200.0,2.0,36.0,2
519,Ananth Nagar,1319.0,3.0,42.0,3
520,Ananth Nagar,1000.0,2.0,25.0,2
521,Ananth Nagar,902.0,2.0,25.0,2
522,Ananth Nagar,930.0,2.0,25.99,2
523,Ananth Nagar,1074.0,2.0,26.85,2
524,Ananth Nagar,500.0,1.0,14.0,1
525,Ananth Nagar,1010.0,2.0,38.0,2
526,Ananth Nagar,992.0,2.0,24.8,2
528,Anekal,656.0,2.0,22.0,2
529,Anekal,620.0,2.0,22.0,2
530,Anekal,600.0,1.0,16.5,1
531,Anekal,925.0,2.0,40.0,2
532,Anekal,530.0,1.0,18.0,1
533,Anekal,1800.0,3.0,68.0,3
535,Anekal,351.0,1.0,16.0,1
536,Anekal,1035.0,2.0,38.3,2
537,Anekal,888.0,2.0,34.0,2
541,Anekal,1200.0,2.0,36.0,4
542,Anekal,766.0,2.0,28.0,2
543,Anekal,967.0,2.0,45.0,3
544,Anekal,620.0,1.0,23.5,2
545,Anekal,1150.0,3.0,45.0,3
548,Anekal,400.0,1.0,11.5,1
549,Anekal,456.0,1.0,15.0,1
552,Anekal,2400.0,4.0,95.0,3
556,Anekal,420.0,1.0,12.5,1
557,Anekal,614.0,1.0,28.0,2
558,Anekal,1140.0,2.0,52.0,2
559,Anekal,625.0,1.0,25.0,2
560,Anjanapura,1500.0,3.0,139.0,3
561,Anjanapura,1850.0,4.0,86.0,4
562,Anjanapura,1070.0,2.0,39.0,2
563,Anjanapura,1500.0,3.0,121.0,3
564,Anjanapura,1070.0,2.0,37.0,2
565,Anjanapura,600.0,2.0,55.0,1
566,Anjanapura,950.0,2.0,40.0,2
567,Anjanapura,1280.0,2.0,45.0,3
568,Anjanapura,710.0,2.0,25.0,2
570,Anjanapura,950.0,2.0,32.0,2
571,Anjanapura,1800.0,4.0,55.0,4
572,Anjanapura,1843.0,3.0,87.54,3
573,Anjanapura,1076.0,2.0,30.13,2
574,Anjanapura,950.0,2.0,30.0,2
575,Ardendale,1750.0,3.0,100.0,3
576,Ardendale,3198.0,4.0,200.0,4
577,Ardendale,2422.0,4.0,160.0,4
578,Ardendale,1750.0,3.0,100.0,3
579,Ardendale,3200.0,4.0,205.0,4
580,Ardendale,1728.0,3.0,95.0,3
581,Ardendale,1100.0,2.0,48.0,2
582,Ardendale,3198.0,4.0,250.0,4
583,Ardendale,2062.0,3.0,140.0,4
584,Ardendale,1732.46,3.0,92.0,3
585,Ardendale,2062.0,3.0,150.0,4
587,Ardendale,1224.0,2.0,70.0,2
588,Ardendale,1777.26,3.0,105.0,3
589,Ardendale,1650.0,3.0,82.0,3
590,Ardendale,2062.0,3.0,140.0,4
591,Ardendale,1650.0,3.0,82.0,3
592,Ardendale,1224.0,2.0,67.0,2
593,Ardendale,1723.0,3.0,95.0,3
594,Ardendale,1777.26,3.0,89.0,3
595,Ardendale,1777.26,3.0,92.0,3
596,Arekere,1222.0,2.0,45.0,2
597,Arekere,2060.0,3.0,140.0,3
598,Arekere,920.0,2.0,40.0,2
599,Arekere,1740.0,2.0,95.0,3
600,Arekere,1190.0,2.0,55.0,2
601,Arekere,600.0,1.0,28.0,1
